campanha,data_hora,data,horario,hora_decimal,periodo_dia,ponto,temperatura,ph,od,salinidade,condutividade,transparencia,PCA1,PCA2,cluster,estado_agua
Nictemeral 1,2024-10-09 11:44:00,2024-10-09,11:44,11.733333333333333,manha,SD01,31.1,8.76,9.2,31.5,46.9,36,-3.684387949239389,0.06733605960460612,1,estavel
Nictemeral 1,2024-10-09 11:54:00,2024-10-09,11:54,11.9,manha,SD02,31.4,8.78,9.4,33.5,49.5,28,-2.0301647554444275,1.030211817910655,1,estavel
Nictemeral 1,2024-10-09 11:59:00,2024-10-09,11:59,11.983333333333333,manha,SD03,32.5,8.77,8.4,33.7,49.8,32,-2.5324954240321773,0.9803520472136739,1,estavel
Nictemeral 1,2024-10-09 12:03:00,2024-10-09,12:03,12.05,tarde,SD04,32.2,8.78,9.2,33.9,50.1,30,-2.230274774079323,1.2146255723233619,1,estavel
Nictemeral 1,2024-10-09 12:07:00,2024-10-09,12:07,12.116666666666667,tarde,SD05,32.3,8.79,9.0,33.9,50.1,32,-2.5266509702690136,1.0738907830328357,1,estavel
Nictemeral 1,2024-10-09 12:11:00,2024-10-09,12:11,12.183333333333334,tarde,SD06,32.6,8.8,8.9,34.0,50.1,34,-2.8342418765807347,1.0389935139606272,1,estavel
Nictemeral 1,2024-10-09 12:14:00,2024-10-09,12:14,12.233333333333333,tarde,SD07,33.0,8.78,8.8,33.9,50.0,31,-2.435119267691182,1.380522173993469,1,estavel
Nictemeral 1,2024-10-09 12:17:00,2024-10-09,12:17,12.283333333333333,tarde,SD08,32.5,8.78,9.1,34.1,50.2,33,-2.6293498161483044,1.121416698740154,1,estavel
Nictemeral 1,2024-10-09 12:22:00,2024-10-09,12:22,12.366666666666667,tarde,SD09,32.3,8.79,9.0,34.2,50.5,34,-2.710050962617671,0.9747843582587113,1,estavel
Nictemeral 1,2024-10-09 12:43:00,2024-10-09,12:43,12.716666666666667,tarde,SD01,31.7,8.77,9.0,33.9,50.0,26,-1.6264481238571906,1.2925819111776449,1,estavel
